CODIGO_UNIDADE;NOME_UNIDADE;DT_AUTORIZA_FUNCIONA_UNID;NOME_REGIAO_UNIDADE;SIGLA_UF_UNIDADE;NOME_MUNICIPIO_UNIDADE;NOME_MESORREGIAO_UNIDADE;NOME_MICRORREGIAO_UNIDADE
42563;INSTITUTO FEDERAL DO MATO GROSSO DO SUL CAMPUS JARDIM;30-12-2008;Centro-Oeste;MS;Jardim;Sudoeste de Mato Grosso do Sul;Bodoquena
20246;INSTITUTO FEDERAL DE MATO GROSSO - CAMPUS BARRA DO GARÇAS;07-01-2009;Centro-Oeste;MT;Barra do Garças;Nordeste Mato-grossense;Médio Araguaia
12979;UNIVERSIDADE FEDERAL DO PARÁ - ESCOLA DE TEATRO E DANÇA DA UFPA;28-12-1962;Norte;PA;Belém;Metropolitana de Belém;Belém
2917;INSTITUTO FEDERAL DO PARÁ - CAMPUS MARABÁ RURAL;07-01-2009;Norte;PA;Marabá;Sudeste Paraense;Marabá
3288;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ - CAMPUS CORNÉLIO PROCÓPIO;10-10-2005;Sul;PR;Cornélio Procópio;Norte Pioneiro Paranaense;Cornélio Procópio
23463;INSTITUTO FEDERAL DO PARANÁ CAMPUS JAGUARIAÍVA;18-06-2012;Sul;PR;Jaguariaíva;Centro Oriental Paranaense;Jaguariaíva
3257;INSTITUTO FEDERAL DO PARANÁ - CAMPUS PARANAGUÁ;06-01-2009;Sul;PR;Paranaguá;Metropolitana de Curitiba;Paranaguá
13804;INSTITUTO FEDERAL DO PARANÁ - CAMPUS PARANAVAÍ;07-01-2009;Sul;PR;Paranavaí;Noroeste Paranaense;Paranavaí
2862;INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS IPOJUCA;07-01-2009;Nordeste;PE;Ipojuca;Metropolitana de Recife;Suape
32362;INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS PALMARES;22-01-2014;Nordeste;PE;Palmares;Mata Pernambucana;Mata Meridional Pernambucana
12980;COLÉGIO TÉCNICO DE BOM JESUS;11-09-1981;Nordeste;PI;Bom Jesus;Sudoeste Piauiense;Alto Médio Gurguéia
13304;INSTITUTO FEDERAL DO PIAUÍ - CAMPUS URUÇUÍ;07-01-2009;Nordeste;PI;Uruçuí;Sudoeste Piauiense;Alto Parnaíba Piauiense
13681;INSTITUTO FEDERAL DO RIO GRANDE DO SUL - CAMPUS ERECHIM;30-12-2008;Sul;RS;Erechim;Noroeste Rio-grandense;Erechim
43190; INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA - CÂMPUS FREDERICO WESTPHALEN;31-12-2014;Sul;RS;Frederico Westphalen;Noroeste Rio-grandense;Frederico Westphalen
14054;INSTITUTO FEDERAL DO RIO GRANDE DO SUL - CAMPUS OSÓRIO;29-12-2008;Sul;RS;Osório;Metropolitana de Porto Alegre;Osório
2931;INSTITUTO FEDERAL SUL-RIO-GRANDENSE - CAMPUS PASSO FUNDO;07-01-2009;Sul;RS;Passo Fundo;Noroeste Rio-grandense;Passo Fundo
13479;INSTITUTO FEDERAL FARROUPILHA - CAMPUS SÃO BORJA;07-01-2009;Sul;RS;São Borja;Sudoeste Rio-grandense;Campanha Ocidental
32052;INSTITUTO FEDERAL FLUMINENSE - CAMPUS AVANÇADO CAMBUCI;25-04-2013;Sudeste;RJ;Cambuci;Noroeste Fluminense;Santo Antônio de Pádua
3124;INSTITUTO FEDERAL DO RIO DE JANEIRO - CAMPUS DUQUE DE CAXIAS;29-12-2008;Sudeste;RJ;Duque de Caxias;Metropolitana do Rio de Janeiro;Rio de Janeiro
1705;COLÉGIO PEDRO II - CAMPUS TIJUCA II;17-11-2008;Sudeste;RJ;Rio de Janeiro;Metropolitana do Rio de Janeiro;Rio de Janeiro
32053;INSTITUTO FEDERAL FLUMINENSE - CAMPUS AVANÇADO SÃO JOÃO DA BARRA;25-04-2013;Sudeste;RJ;São João da Barra;Norte Fluminense;Campos dos Goytacazes
31313;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE - CAMPUS CEARÁ-MIRIM;08-10-2013;Nordeste;RN;Ceará-Mirim;Leste Potiguar;Macaíba
2925;INSTITUTO FEDERAL DE RONDÔNIA - CAMPUS PORTO VELHO CALAMA;07-01-2009;Norte;RO;Porto Velho;Madeira-Guaporé;Porto Velho
13828;INSTITUTO FEDERAL SUL-RIO-GRANDENSE - CAMPUS CAMAQUÃ;07-01-2009;Sul;RS;Camaquã;Metropolitana de Porto Alegre;Camaquã
32013;INSTITUTO FEDERAL DE SERGIPE CAMPUS PROPRIÁ;22-01-2014;Nordeste;SE;Propriá;Leste Sergipano;Propriá
2816;INSTITUTO FEDERAL DE SÃO PAULO - CAMPUS CUBATÃO;29-12-2008;Sudeste;SP;Cubatão;Metropolitana de São Paulo;Santos
14356;INSTITUTO FEDERAL DE SÃO PAULO - CAMPUS HORTOLÂNDIA;03-12-2010;Sudeste;SP;Hortolândia;Campinas;Campinas
14260;INSTITUTO FEDERAL DE SANTA CATARINA - CAMPUS CAÇADOR;07-01-2009;Sul;SC;Caçador;Oeste Catarinense;Joaçaba
2829;INSTITUTO FEDERAL DE SANTA CATARINA - CAMPUS CHAPECÓ;07-01-2009;Sul;SC;Chapecó;Oeste Catarinense;Chapecó
14252;INSTITUTO FEDERAL DE SANTA CATARINA - CAMPUS ITAJAÍ;07-01-2009;Sul;SC;Itajaí;Vale do Itajaí;Itajaí
2825;INSTITUTO FEDERAL DE SANTA CATARINA - CAMPUS SÃO JOSÉ;07-01-2009;Sul;SC;São José;Grande Florianópolis;Florianópolis
14157;INSTITUTO FEDERAL DE SÃO PAULO CAMPUS MATÃO;23-04-2013;Sudeste;SP;Matão;Araraquara;Araraquara
3029;INSTITUTO FEDERAL DE SÃO PAULO - CAMPUS SÃO CARLOS;07-01-2009;Sudeste;SP;São Carlos;Araraquara;São Carlos
2819;INSTITUTO FEDERAL DE SÃO PAULO - CAMPUS SÃO JOÃO DA BOA VISTA;30-12-2008;Sudeste;SP;São João da Boa Vista;Campinas;São João da Boa Vista
2815;INSTITUTO FEDERAL DE SÃO PAULO - CAMPUS SÃO PAULO;30-12-2008;Sudeste;SP;São Paulo;Metropolitana de São Paulo;São Paulo
2850;INSTITUTO FEDERAL DE SÃO PAULO - CAMPUS SÃO ROQUE;30-12-2008;Sudeste;SP;São Roque;Macro Metropolitana Paulista;Sorocaba
32024;INSTITUTO FEDERAL DO TOCANTINS - CAMPUS AVANÇADO LAGOA DA CONFUSÃO;22-01-2014;Norte;TO;Lagoa da Confusão;Ocidental do Tocantins;Rio Formoso
32002;INSTITUTO FEDERAL DE ALAGOAS - CAMPUS VIÇOSA;22-01-2014;Nordeste;AL;Viçosa;Leste Alagoano;Serrana dos Quilombos
32456;INSTITUTO FEDERAL DO AMAZONAS - CAMPUS EIRUNEPÉ;22-01-2014;Norte;AM;Eirunepé;Sudoeste Amazonense;Juruá
14183;INSTITUTO FEDERAL DO AMAPÁ - CAMPUS MACAPÁ;06-12-2010;Norte;AP;Macapá;Sul do Amapá;Macapá
2882;INSTITUTO FEDERAL DA BAHIA - CAMPUS CAMAÇARI;07-01-2009;Nordeste;BA;Camaçari;Metropolitana de Salvador;Salvador
32035;INSTITUTO FEDERAL DA BAHIA CAMPUS EUCLIDES DA CUNHA;29-12-2008;Nordeste;BA;Euclides da Cunha;Nordeste Baiano;Euclides da Cunha
20103;INSTITUTO FEDERAL DA BAHIA - CAMPUS FEIRA DE SANTANA;29-12-2009;Nordeste;BA;Feira de Santana;Centro Norte Baiano;Feira de Santana
20100;INSTITUTO FEDERAL DA BAHIA - CAMPUS ILHÉUS;29-12-2009;Nordeste;BA;Ilhéus;Sul Baiano;Ilhéus-Itabuna
20098;INSTITUTO FEDERAL DA BAHIA - CAMPUS IRECÊ;29-12-2009;Nordeste;BA;Irecê;Centro Norte Baiano;Irecê
20409;INSTITUTO FEDERAL DO ACRE - CAMPUS XAPURI;29-12-2008;Norte;AC;Xapuri;Vale do Acre;Brasiléia
2854;INSTITUTO FEDERAL DE ALAGOAS - CAMPUS MACEIÓ;07-01-2009;Nordeste;AL;Maceió;Leste Alagoano;Maceió
14549;INSTITUTO FEDERAL DE ALAGOAS - CAMPUS MARAGOGI;06-07-2010;Nordeste;AL;Maragogi;Leste Alagoano;Litoral Norte Alagoano
2955;INSTITUTO FEDERAL GOIANO - CAMPUS MORRINHOS;07-01-2009;Centro-Oeste;GO;Morrinhos;Sul Goiano;Meia Ponte
23516;INSTITUTO FEDERAL DO MARANHÃO - CAMPUS COELHO NETO;30-12-2008;Nordeste;MA;Coelho Neto;Leste Maranhense;Coelho Neto
32040;INSTITUTO FEDERAL DA BAHIA CAMPUS SANTO ANTÔNIO DE JESUS;29-12-2008;Nordeste;BA;Santo Antônio de Jesus;Metropolitana de Salvador;Santo Antônio de Jesus
44279;INSTITUTO FEDERAL BAIANO CAMPUS XIQUE-XIQUE;10-05-2016;Nordeste;BA;Xique-Xique;Vale São-Franciscano da Bahia;Barra
44156;INSTITUTO FEDERAL DO CEARÁ - CAMPUS AVANÇADO PECÉM;30-12-2008;Nordeste;CE;Caucaia;Metropolitana de Fortaleza;Fortaleza
2984;INSTITUTO FEDERAL DO CEARÁ - CAMPUS FORTALEZA;07-01-2009;Nordeste;CE;Fortaleza;Metropolitana de Fortaleza;Fortaleza
3007;INSTITUTO FEDERAL DO CEARÁ - CAMPUS QUIXADÁ;07-01-2009;Nordeste;CE;Quixadá;Sertões Cearenses;Sertão de Quixeramobim
3571;INSTITUTO FEDERAL DO CEARÁ - CAMPUS SOBRAL;29-12-2008;Nordeste;CE;Sobral;Noroeste Cearense;Sobral
21892;INSTITUTO FEDERAL DE BRASILIA CAMPUS CEILÂNDIA;28-05-2012;Centro-Oeste;DF;Brasília;Distrito Federal;Brasília
22588;INSTITUTO FEDERAL DO ESPÍRITO SANTO - CAMPUS BARRA DE SÃO FRANCISCO;30-12-2008;Sudeste;ES;Barra de São Francisco;Noroeste Espírito-santense;Barra de São Francisco
2884;INSTITUTO FEDERAL DO ESPÍRITO SANTO - CAMPUS VITÓRIA;07-01-2009;Sudeste;ES;Vitória;Central Espírito-santense;Vitória
42123;INSTITUTO FEDERAL DE MINAS GERAIS - CAMPUS AVANÇADO PONTE NOVA;30-12-2013;Sudeste;MG;Ponte Nova;Zona da Mata;Ponte Nova
2913;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS - CAMPUS SALINAS;07-01-2009;Sudeste;MG;Salinas;Norte de Minas;Salinas
42070;INSTITUTO FEDERAL DO MARANHÃO CAMPUS VIANA;30-12-2013;Nordeste;MA;Viana;Norte Maranhense;Baixada Maranhense
14170;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS - CAMPUS ALMENARA;07-01-2009;Sudeste;MG;Almenara;Jequitinhonha;Almenara
3043;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS - UNED ARAXÁ;07-01-2009;Sudeste;MG;Araxá;Triângulo Mineiro/Alto Paranaíba;Araxá
2997;INSTITUTO FEDERAL DO SUL DE MINAS GERAIS - CAMPUS INCONFIDENTES;07-01-2009;Sudeste;MG;Inconfidentes;Sul/Sudoeste de Minas;Poços de Caldas
2808;INSTITUTO FEDERAL DA PARAÍBA - CAMPUS CAJAZEIRAS;07-01-2009;Nordeste;PB;Cajazeiras;Sertão Paraibano;Cajazeiras
32030;INSTITUTO FEDERAL DA PARAÍBA CAMPUS ITABAIANA;20-01-2014;Nordeste;PB;Itabaiana;Agreste Paraibano;Itabaiana
2960;INSTITUTO FEDERAL DO TRIÂNGULO MINEIRO - CAMPUS UBERABA;07-01-2009;Sudeste;MG;Uberaba;Triângulo Mineiro/Alto Paranaíba;Uberaba
2963;INSTITUTO FEDERAL DO TRIÂNGULO MINEIRO - CAMPUS UBERLÂNDIA;07-01-2009;Sudeste;MG;Uberlândia;Triângulo Mineiro/Alto Paranaíba;Uberlândia
2968;INSTITUTO FEDERAL DE MATO GROSSO - CAMPUS CÁCERES;07-01-2009;Centro-Oeste;MT;Cáceres;Centro-Sul Mato-grossense;Alto Pantanal
2966;INSTITUTO FEDERAL DE MATO GROSSO - CAMPUS CUIABÁ;07-01-2009;Centro-Oeste;MT;Cuiabá;Centro-Sul Mato-grossense;Cuiabá
31983;INSTITUTO FEDERAL DE MATO GROSSO - CAMPUS AVANÇADO TANGARÁ DA SERRA;22-01-2014;Centro-Oeste;MT;Tangará da Serra;Sudoeste Mato-grossense;Tangará da Serra
12978;UNIVERSIDADE FEDERAL DO PARÁ - ESCOLA DE MÚSICA DA UFPA;04-01-1991;Norte;PA;Belém;Metropolitana de Belém;Belém
32358;INSTITUTO FEDERAL DO PARÁ CAMPUS CAMETÁ;22-01-2014;Norte;PA;Cametá;Nordeste Paraense;Cametá
2915;INSTITUTO FEDERAL DO PARÁ - CAMPUS CASTANHAL;07-01-2009;Norte;PA;Castanhal;Metropolitana de Belém;Castanhal
3522;INSTITUTO FEDERAL DO PARÁ - CAMPUS CONCEIÇÃO DO ARAGUAIA;29-12-2008;Norte;PA;Conceição do Araguaia;Sudeste Paraense;Conceição do Araguaia
13396;INSTITUTO FEDERAL DO PARÁ - CAMPUS ITAITUBA;29-12-2008;Norte;PA;Itaituba;Sudoeste Paraense;Itaituba
32357;INSTITUTO FEDERAL DO PARÁ CAMPUS PARAGOMINAS;22-01-2014;Norte;PA;Paragominas;Sudeste Paraense;Paragominas
13860;UNIVERSIDADE FEDERAL DO PARANÁ SETOR DE EDUCAÇÃO PROFISSIONAL E TECNÓLOGICA;28-08-2009;Sul;PR;Curitiba;Metropolitana de Curitiba;Curitiba
32003;INSTITUTO FEDERAL DO PARANÁ CAMPUS AVANÇADO GUAÍRA;18-06-2012;Sul;PR;Guaíra;Oeste Paranaense;Toledo
14104;INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS GARANHUNS;07-01-2009;Nordeste;PE;Garanhuns;Agreste Pernambucano;Garanhuns
14184;INSTITUTO FEDERAL DO SERTÃO PERNAMBUCANO - CAMPUS OURICURI;21-09-2010;Nordeste;PE;Ouricuri;Sertão Pernambucano;Araripina
32365;INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS PAULISTA;22-01-2014;Nordeste;PE;Paulista;Metropolitana de Recife;Recife
12974;UNIVERSIDADE FEDERAL DO RURAL DE PERNAMBUCO - COLÉGIO AGRÍCOLA DOM AGOSTINHO IKAS DA UFRPE;04-09-1975;Nordeste;PE;São Lourenço da Mata;Metropolitana de Recife;Recife
3744;COLÉGIO TÉCNICO DE FLORIANO;03-01-1979;Nordeste;PI;Floriano;Sudoeste Piauiense;Floriano
31990;INSTITUTO FEDERAL DO PIAUÍ - CAMPUS VALENÇA DO PIAUÍ;22-01-2014;Nordeste;PI;Valença do Piauí;Centro-Norte Piauiense;Valença do Piauí
13781;INSTITUTO FEDERAL DO PARANÁ - CAMPUS ASSIS CHATEAUBRIAND;28-12-2008;Sul;PR;Assis Chateaubriand;Oeste Paranaense;Toledo
2933;INSTITUTO FEDERAL FARROUPILHA - CAMPUS JÚLIO DE CASTILHOS;07-01-2009;Sul;RS;Júlio de Castilhos;Centro Ocidental Rio-grandense;Santiago
2939;INSTITUTO FEDERAL DO RIO GRANDE DO SUL - CAMPUS PORTO ALEGRE;07-01-2009;Sul;RS;Porto Alegre;Metropolitana de Porto Alegre;Porto Alegre
2940;INSTITUTO FEDERAL DO RIO GRANDE DO SUL - CAMPUS RIO GRANDE;07-01-2009;Sul;RS;Rio Grande;Sudeste Rio-grandense;Litoral Lagunar
20452;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA - UNED ANGRA DOS REIS;28-12-2008;Sudeste;RJ;Angra dos Reis;Sul Fluminense;Baía da Ilha Grande
20449;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA - UNED ITAGUAÍ;29-12-2008;Sudeste;RJ;Itaguaí;Metropolitana do Rio de Janeiro;Itaguaí
32046;INSTITUTO FEDERAL DO RIO DE JANEIRO CAMPUS MESQUITA;30-12-2008;Sudeste;RJ;Mesquita;Metropolitana do Rio de Janeiro;Rio de Janeiro
2937;INSTITUTO FEDERAL DO RIO DE JANEIRO - CAMPUS NILÓPOLIS;07-01-2009;Sudeste;RJ;Nilópolis;Metropolitana do Rio de Janeiro;Rio de Janeiro
1703;COLÉGIO PEDRO II - CAMPUS REALENGO II;17-11-2008;Sudeste;RJ;Rio de Janeiro;Metropolitana do Rio de Janeiro;Rio de Janeiro
3037;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA - UNIDADE MARACANÃ;07-01-2009;Sudeste;RJ;Rio de Janeiro;Metropolitana do Rio de Janeiro;Rio de Janeiro
13012;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE - CAMPUS CAICÓ;28-07-2009;Nordeste;RN;Caicó;Central Potiguar;Seridó Ocidental
31311;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE - CAMPUS CANGUARETAMA;08-10-2013;Nordeste;RN;Canguaretama;Leste Potiguar;Litoral Sul
3215;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE - ESCOLA DE MÚSICA DA UFRN;04-10-1962;Nordeste;RN;Natal;Leste Potiguar;Natal
13017;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE - CAMPUS PAU DOS FERROS;08-09-2009;Nordeste;RN;Pau dos Ferros;Oeste Potiguar;Pau dos Ferros
20419;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE - CAMPUS SÃO GONÇALO DO AMARANTE;29-12-2008;Nordeste;RN;São Gonçalo do Amarante;Leste Potiguar;Macaíba
12982;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA - ESCOLA AGROTÉCNICA;27-03-2008;Norte;RR;Boa Vista;Norte de Roraima;Boa Vista
2811;INSTITUTO FEDERAL DE RORAIMA - CAMPUS BOA VISTA;29-12-2008;Norte;RR;Boa Vista;Norte de Roraima;Boa Vista
42733;INSTITUTO FEDERAL DE SÃO PAULO CAMPUS AVANÇADO ILHA SOLTEIRA;01-03-2014;Sudeste;SP;Ilha Solteira;Araçatuba;Andradina
2941;INSTITUTO FEDERAL DO RIO GRANDE DO SUL - CAMPUS SERTÃO;07-01-2009;Sul;RS;Sertão;Noroeste Rio-grandense;Passo Fundo
20443;INSTITUTO FEDERAL SUL-RIO-GRANDENSE - CAMPUS VENÂNCIO AIRES;13-05-2011;Sul;RS;Venâncio Aires;Centro Oriental Rio-grandense;Santa Cruz do Sul
14257;INSTITUTO FEDERAL DE SANTA CATARINA - CAMPUS LAGES;07-01-2009;Sul;SC;Lages;Serrana;Campos de Lages
32382;INSTITUTO FEDERAL DE SANTA CATARINA CAMPUS AVANÇADO SÃO LOURENÇO DO OESTE;30-12-2008;Sul;SC;São Lourenço do Oeste;Oeste Catarinense;Chapecó
14255;INSTITUTO FEDERAL DE SANTA CATARINA - CAMPUS SÃO MIGUEL DO OESTE;07-01-2009;Sul;SC;São Miguel do Oeste;Oeste Catarinense;São Miguel do Oeste
31330;INSTITUTO FEDERAL DE SANTA CATARINA CAMPUS TUBARÃO;08-10-2013;Sul;SC;Tubarão;Sul Catarinense;Tubarão
3445;INSTITUTO FEDERAL DE SERGIPE - CAMPUS LAGARTO;07-01-2009;Nordeste;SE;Lagarto;Agreste Sergipano;Agreste de Lagarto
2817;INSTITUTO FEDERAL DE SÃO PAULO - CAMPUS SERTÃOZINHO;30-12-2008;Sudeste;SP;Sertãozinho;Ribeirão Preto;Ribeirão Preto
13819;INSTITUTO FEDERAL DO TOCANTINS - CAMPUS ARAGUAÍNA;11-09-2009;Norte;TO;Araguaína;Ocidental do Tocantins;Araguaína
32025;INSTITUTO FEDERAL DO TOCANTINS - CAMPUS AVANÇADO PEDRO AFONSO;22-01-2014;Norte;TO;Pedro Afonso;Oriental do Tocantins;Porto Nacional
32016;INSTITUTO FEDERAL DE ALAGOAS - CAMPUS RIO LARGO;22-01-2014;Nordeste;AL;Rio Largo;Leste Alagoano;Maceió
32063;INSTITUTO FEDERAL DO AMAZONAS - CAMPUS HUMAITÁ;07-10-2013;Norte;AM;Humaitá;Sul Amazonense;Madeira
13779;INSTITUTO FEDERAL DO AMAZONAS - CAMPUS LÁBREA;29-12-2008;Norte;AM;Lábrea;Sul Amazonense;Purus
13795;INSTITUTO FEDERAL DO AMAZONAS - CAMPUS PRESIDENTE FIGUEIREDO;07-01-2009;Norte;AM;Presidente Figueiredo;Centro Amazonense;Rio Preto da Eva
13623;INSTITUTO FEDERAL BAIANO - CAMPUS BOM JESUS DA LAPA;07-01-2009;Nordeste;BA;Bom Jesus da Lapa;Vale São-Franciscano da Bahia;Bom Jesus da Lapa
32087;INSTITUTO FEDERAL DA BAHIA - CAMPUS BRUMADO;08-10-2013;Nordeste;BA;Brumado;Centro Sul Baiano;Brumado
